"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"A","Agilent Technologies Inc","Healthcare","Diagnostics & Research","USA",43024.03,33.20,151.76,-1.13%,252280
2,"AA","Alcoa Corp","Basic Materials","Aluminum","USA",10835.06,9.50,41.84,0.24%,1511183
3,"AAA","Alternative Access First Priority CLO Bond ETF","Financial","Exchange Traded Fund","USA",,,24.95,-0.02%,493
4,"AAAA","Amplius Aggressive Asset Allocation ETF","Financial","Exchange Traded Fund","USA",,,27.34,-0.19%,2431
5,"AAAU","Goldman Sachs Physical Gold ETF","Financial","Exchange Traded Fund","USA",,,41.74,0.29%,574654
6,"AACB","Artius II Acquisition Inc","Financial","Shell Companies","USA",284.22,,10.27,0.00%,69
7,"AACG","ATA Creativity Global ADR","Consumer Defensive","Education & Training Services","China",36.38,,1.14,-3.39%,24075
8,"AADR","AdvisorShares Dorsey Wright ADR ETF","Financial","Exchange Traded Fund","USA",,,85.31,-0.82%,723
9,"AAL","American Airlines Group Inc","Industrials","Airlines","USA",9150.45,16.67,13.86,-1.33%,11052422
10,"AALG","Leverage Shares 2X Long AAL Daily ETF","Financial","Exchange Traded Fund","USA",,,15.18,-1.43%,6428
11,"AAM","AA Mission Acquisition Corp","Financial","Shell Companies","USA",466.13,32.58,10.60,0.38%,9
12,"AAME","Atlantic American Corp","Financial","Insurance - Life","USA",51.60,11.22,2.53,3.27%,5869
13,"AAMI","Acadian Asset Management Inc","Financial","Asset Management","USA",1590.54,18.79,44.54,-0.67%,17027
14,"AAOI","Applied Optoelectronics Inc","Technology","Communication Equipment","USA",1777.88,,26.04,-2.77%,789303
15,"AAON","AAON Inc","Industrials","Building Products & Equipment","USA",7416.03,75.51,90.96,-2.70%,163620
16,"AAP","Advance Auto Parts Inc","Consumer Cyclical","Auto Parts","USA",3175.77,,52.91,1.99%,168516
17,"AAPB","GraniteShares 2x Long AAPL Daily ETF","Financial","Exchange Traded Fund","USA",,,35.12,-0.73%,34985
18,"AAPD","Direxion Daily AAPL Bear 1X Shares","Financial","Exchange Traded Fund","USA",,,12.88,0.39%,140598
19,"AAPG","Ascentage Pharma Group International ADR","Healthcare","Biotechnology","China",3038.55,,32.75,0.77%,116
20,"AAPL","Apple Inc","Technology","Consumer Electronics","USA",4106348.28,37.26,277.90,-0.34%,6748933
21,"AAPR","Innovator Equity Defined Protection ETF - 2 Yr to April 2026","Financial","Exchange Traded Fund","USA",,,28.17,0.00%,0
22,"AAPU","Direxion Daily AAPL Bull 2X Shares","Financial","Exchange Traded Fund","USA",,,37.81,-0.71%,263791
23,"AAPW","Roundhill AAPL WeeklyPay ETF","Financial","Exchange Traded Fund","USA",,,42.58,-1.22%,3180
24,"AAPX","T-Rex 2X Long Apple Daily Target ETF","Financial","Exchange Traded Fund","USA",,,32.71,-0.56%,26377
25,"AAPY","Kurv Yield Premium Strategy Apple (AAPL) ETF","Financial","Exchange Traded Fund","USA",,,25.50,-0.23%,763
26,"AARD","Aardvark Therapeutics Inc","Healthcare","Biotechnology","USA",211.55,,9.72,-2.65%,50509
27,"AAT","American Assets Trust Inc","Real Estate","REIT - Diversified","USA",1186.66,19.10,19.41,-0.49%,19116
28,"AAUC","Allied Gold Corp","Basic Materials","Gold","Canada",2546.75,,20.53,-2.75%,352204
29,"AAUM","Tema Alternative Asset Managers ETF","Financial","Exchange Traded Fund","USA",,,22.91,-1.43%,63
30,"AAUS","Alpha Architect US Equity ETF","Financial","Exchange Traded Fund","USA",,,55.15,-0.38%,10
31,"AAVM","Alpha Architect Global Factor Equity ETF","Financial","Exchange Traded Fund","USA",,,29.36,-0.54%,178
32,"AAXJ","iShares MSCI All Country Asia ex Japan ETF","Financial","Exchange Traded Fund","USA",,,92.51,-0.16%,81178
33,"AB","AllianceBernstein Holding Lp","Financial","Asset Management","USA",3783.95,13.70,41.58,0.67%,27597
34,"ABAT","American Battery Technology Company","Industrials","Waste Management","USA",447.10,,3.44,-8.02%,1358567
35,"ABBV","Abbvie Inc","Healthcare","Drug Manufacturers - General","USA",398350.83,170.07,225.39,-1.01%,653304
36,"ABCB","Ameris Bancorp","Financial","Banks - Regional","USA",5190.34,13.15,75.98,0.29%,16104
37,"ABCL","AbCellera Biologics Inc","Healthcare","Biotechnology","Canada",1056.65,,3.53,-5.36%,780765
38,"ABCS","Alpha Blue Capital US Small-Mid Cap Dynamic ETF","Financial","Exchange Traded Fund","USA",,,30.22,0.14%,2226
39,"ABEO","Abeona Therapeutics Inc","Healthcare","Biotechnology","USA",261.47,4.14,4.82,-4.83%,237516
40,"ABEQ","Absolute Select Value ETF","Financial","Exchange Traded Fund","USA",,,36.46,-0.15%,11
41,"ABEV","Ambev S.A. ADR","Consumer Defensive","Beverages - Brewers","Brazil",40072.47,14.34,2.57,1.18%,2116978
42,"ABFL","Abacus FCF Leaders ETF","Financial","Exchange Traded Fund","USA",,,71.34,-0.81%,1005
43,"ABG","Asbury Automotive Group Inc","Consumer Cyclical","Auto & Truck Dealerships","USA",4542.38,8.20,233.65,0.47%,17942
44,"ABI","VictoryShares Pioneer Asset-Based Income ETF","Financial","Exchange Traded Fund","USA",,,24.94,-0.04%,8
45,"ABIG","Argent Large Cap ETF","Financial","Exchange Traded Fund","USA",,,32.26,-0.29%,5
46,"ABL","Abacus Global Management Inc","Financial","Insurance - Life","USA",650.94,85.26,6.66,0.44%,117515
47,"ABLD","Abacus FCF Real Assets Leaders ETF","Financial","Exchange Traded Fund","USA",,,29.08,-0.20%,63
48,"ABLG","Abacus FCF International Leaders ETF","Financial","Exchange Traded Fund","USA",,,31.80,0.54%,4
49,"ABLS","Abacus FCF Small Cap Leaders ETF","Financial","Exchange Traded Fund","USA",,,23.26,-0.30%,5
50,"ABLV","Able View Global Inc","Consumer Cyclical","Specialty Retail","China",32.60,,0.66,0.00%,1345
51,"ABM","ABM Industries Inc","Industrials","Specialty Business Services","USA",2649.02,23.50,43.26,0.61%,36032
52,"ABNB","Airbnb Inc","Consumer Cyclical","Travel Services","USA",72216.30,27.76,117.32,0.28%,763161
53,"ABNG","Leverage Shares 2x Long ABNB Daily ETF","Financial","Exchange Traded Fund","USA",,,13.94,1.83%,282
54,"ABNY","YieldMax ABNB Option Income Strategy ETF","Financial","Exchange Traded Fund","USA",,,8.81,0.21%,3496
55,"ABOS","Acumen Pharmaceuticals Inc","Healthcare","Biotechnology","USA",114.49,,1.89,0.53%,21094
56,"ABOT","Abacus FCF Innovation Leaders ETF","Financial","Exchange Traded Fund","USA",,,39.52,-0.39%,5
