Ticker,Sector,Industry,MarketCap
SPY,Unknown,Unknown,627203047424
NVDA,Technology,Semiconductors,4301985153024
TSLA,Consumer Cyclical,Auto Manufacturers,1430667657216
QQQ,Unknown,Unknown,243427180544
GOOGL,Communication Services,Internet Content & Information,3878058983424
META,Communication Services,Internet Content & Information,1633175863296
MSFT,Technology,Software - Infrastructure,3657192177664
GOOG,Communication Services,Internet Content & Information,3864435359744
AAPL,Technology,Consumer Electronics,4138242670592
AVGO,Technology,Semiconductors,1902924136448
AMZN,Consumer Cyclical,Internet Retail,2493172154368
IWM,Unknown,Unknown,69911183360
AMD,Technology,Semiconductors,354147893248
INTC,Technology,Semiconductors,193471201280
TLT,Unknown,Unknown,9896037376
MU,Technology,Semiconductors,266122706944
SNDK,Technology,Computer Hardware,32722395136
LLY,Healthcare,Drug Manufacturers - General,964112351232
PLTR,Technology,Software - Infrastructure,401489821696
LQD,Unknown,Unknown,32830910464
ORCL,Technology,Software - Infrastructure,575717572608
GLD,Unknown,Unknown,100965163008
MSTR,Technology,Software - Application,50913333248
IVV,Unknown,Unknown,426930274304
IBIT,Unknown,Unknown,0
COIN,Financial Services,Financial Data & Stock Exchanges,73564225536
SGOV,Unknown,Unknown,0
HYG,Unknown,Unknown,15841643520
SOXL,Unknown,Unknown,0
SLV,Unknown,Unknown,17485654016
TQQQ,Unknown,Unknown,0
VOO,Unknown,Unknown,0
CRCL,Financial Services,Capital Markets,20337199104
BMNR,Financial Services,Capital Markets,12720325632
HOOD,Financial Services,Capital Markets,115536781312
NFLX,Communication Services,Entertainment,455851245568
TSM,Technology,Semiconductors,1511918010368
V,Financial Services,Credit Services,649128640512
JPM,Financial Services,Banks - Diversified,860892889088
XLV,Unknown,Unknown,31122475008
GDX,Unknown,Unknown,0
BRK.B,Unknown,Unknown,0
SMH,Unknown,Unknown,4111424512
JNJ,Healthcare,Drug Manufacturers - General,498531336192
BABA,Consumer Cyclical,Internet Retail,375317233664
DIA,Unknown,Unknown,38767484928
WMT,Consumer Defensive,Discount Stores,881915985920
APP,Communication Services,Advertising Agencies,202774052864
CRWV,Technology,Software - Infrastructure,36436975616
SMX,Industrials,Specialty Business Services,64126916
BAC,Financial Services,Banks - Diversified,397382746112
COST,Consumer Defensive,Discount Stores,405156233216
SQQQ,Unknown,Unknown,0
RSP,Unknown,Unknown,29793064960
MRVL,Technology,Semiconductors,77080682496
CRDO,Technology,Semiconductors,30724020224
BIL,Unknown,Unknown,0
ASML,Technology,Semiconductor Equipment & Materials,411436548096
XLK,Unknown,Unknown,77867868160
IREN,Financial Services,Capital Markets,13552486400
IWD,Unknown,Unknown,64127889408
PANW,Technology,Software - Infrastructure,132520615936
SOXX,Unknown,Unknown,2270060800
TSLL,Unknown,Unknown,0
BE,Industrials,Electrical Equipment & Parts,25836433408
XLF,Unknown,Unknown,47114121216
CRM,Technology,Software - Application,220396240896
CVNA,Consumer Cyclical,Auto & Truck Dealerships,81192886272
QCOM,Technology,Semiconductors,181369110528
XOM,Energy,Oil & Gas Integrated,494195605504
EEM,Unknown,Unknown,40870367232
UNH,Healthcare,Healthcare Plans,298718396416
UBER,Technology,Software - Application,182557540352
DE,Industrials,Farm & Heavy Construction Machinery,125565304832
SOFI,Financial Services,Credit Services,35839438848
COHR,Technology,Scientific & Technical Instruments,25814052864
EFA,Unknown,Unknown,89326297088
CLSK,Financial Services,Capital Markets,4036770304
VTI,Unknown,Unknown,697412812800
LRCX,Technology,Semiconductor Equipment & Materials,196721049600
IEF,Unknown,Unknown,14234999808
NVO,Healthcare,Drug Manufacturers - General,219285716992
HD,Consumer Cyclical,Home Improvement Retail,355317972992
XLE,Unknown,Unknown,16862050304
ETHA,Unknown,Unknown,0
DELL,Technology,Computer Hardware,89660956672
NOW,Technology,Software - Application,169103949824
AMAT,Technology,Semiconductor Equipment & Materials,200953053184
ZS,Technology,Software - Infrastructure,40107008000
HBI,Consumer Cyclical,Apparel Manufacturing,2289099776
VRT,Industrials,Electrical Equipment & Parts,68717662208
GS,Financial Services,Capital Markets,250059718656
BA,Industrials,Aerospace & Defense,143658041344
XLP,Unknown,Unknown,16681352192
CIFR,Financial Services,Capital Markets,8040123904
PG,Consumer Defensive,Household & Personal Products,346766311424
LITE,Technology,Communication Equipment,23057938432
MA,Financial Services,Credit Services,497685659648
NVDL,Unknown,Unknown,0
ADI,Technology,Semiconductors,129924816896
DIS,Communication Services,Entertainment,187830140928
TXN,Technology,Semiconductors,152980504576
SHOP,Technology,Software - Application,206524366848
LEN,Consumer Cyclical,Residential Construction,32427286528
OMC,Communication Services,Advertising Agencies,22727833600
BKNG,Consumer Cyclical,Travel Services,159284543488
MRK,Healthcare,Drug Manufacturers - General,261842632704
SCHW,Financial Services,Capital Markets,168325300224
C,Financial Services,Banks - Diversified,190717018112
ABBV,Healthcare,Drug Manufacturers - General,402433474560
GEV,Industrials,Specialty Industrial Machinery,163271753728
CAT,Industrials,Farm & Heavy Construction Machinery,269731430400
PFE,Healthcare,Drug Manufacturers - General,146350112768
CVX,Energy,Oil & Gas Integrated,304500113408
ADBE,Technology,Software - Application,135799144448
MCD,Consumer Cyclical,Restaurants,222516133888
ISRG,Healthcare,Medical Instruments & Supplies,205579108352
NBIS,Communication Services,Internet Content & Information,23888951296
XLY,Unknown,Unknown,28435025920
WFC,Financial Services,Banks - Diversified,275015434240
CSCO,Technology,Communication Equipment,303997222912
LULU,Consumer Cyclical,Apparel Retail,22074064896
INTU,Technology,Software - Application,176527884288
IWF,Unknown,Unknown,134930644992
KO,Consumer Defensive,Beverages - Non-Alcoholic,314684145664
XLI,Unknown,Unknown,20998049792
APLD,Technology,Information Technology Services,7579487744
AAL,Industrials,Airlines,9274215424
OKLO,Utilities,Utilities - Independent Power Producers,14277857280
XBI,Unknown,Unknown,0
WDC,Technology,Computer Hardware,55988793344
IBM,Technology,Information Technology Services,288440582144
CLS,Technology,Electronic Components,39619764224
CRWD,Technology,Software - Infrastructure,127776317440
MELI,Consumer Cyclical,Internet Retail,105033809920
RDDT,Communication Services,Internet Content & Information,41020145664
AGG,Unknown,Unknown,57729531904
ANET,Technology,Computer Hardware,164563369984
IONQ,Technology,Computer Hardware,17465982976
EWZ,Unknown,Unknown,6740485632
PYPL,Financial Services,Credit Services,59892674560
IAU,Unknown,Unknown,77039616000
SNOW,Technology,Software - Application,85120114688
WULF,Financial Services,Capital Markets,6493756416
MDY,Unknown,Unknown,33552734208
SPOT,Communication Services,Internet Content & Information,123303747584
GDXJ,Unknown,Unknown,0
WBD,Communication Services,Entertainment,59471388672
LIN,Basic Materials,Specialty Chemicals,192402964480
VRSN,Technology,Software - Infrastructure,23538030592
FXI,Unknown,Unknown,5117158400
KLAC,Technology,Semiconductor Equipment & Materials,154791215104
BBAI,Technology,Information Technology Services,2767734784
B,Basic Materials,Gold,70684057600
CMG,Consumer Cyclical,Restaurants,46287351808
APH,Technology,Electronic Components,172469420032
PEP,Consumer Defensive,Beverages - Non-Alcoholic,203636555776
AGQ,Unknown,Unknown,0
SNPS,Technology,Software - Infrastructure,77644808192
TMO,Healthcare,Diagnostics & Research,221979607040
VCIT,Unknown,Unknown,0
PDD,Consumer Cyclical,Internet Retail,164792565760
NEM,Basic Materials,Gold,99662340096
OPEN,Real Estate,Real Estate Services,7344167936
AMGN,Healthcare,Drug Manufacturers - General,186023510016
IYR,Unknown,Unknown,4782014976
KRE,Unknown,Unknown,0
SOXS,Unknown,Unknown,0
XLC,Unknown,Unknown,0
T,Communication Services,Telecom Services,184467472384
FISV,Unknown,Unknown,33414672384
IEFA,Unknown,Unknown,0
QQQM,Unknown,Unknown,0
GE,Industrials,Aerospace & Defense,316488155136
VZ,Communication Services,Telecom Services,173337247744
USHY,Unknown,Unknown,0
MDB,Technology,Software - Infrastructure,27159386112
REGN,Healthcare,Biotechnology,82690342912
DDOG,Technology,Software - Application,56110825472
WDAY,Technology,Software - Application,57570537472
F,Consumer Cyclical,Auto Manufacturers,52914143232
CEG,Utilities,Utilities - Independent Power Producers,113828085760
AU,Basic Materials,Gold,43258826752
VCLT,Unknown,Unknown,0
GILD,Healthcare,Drug Manufacturers - General,156143140864
FCX,Basic Materials,Copper,61716295680
TJX,Consumer Cyclical,Apparel Retail,169484320768
KWEB,Unknown,Unknown,0
ALAB,Technology,Semiconductors,26614145024
IWB,Unknown,Unknown,46898610176
MARA,Financial Services,Capital Markets,4466357248
GLDM,Unknown,Unknown,0
ACN,Technology,Information Technology Services,155713175552
SPGI,Financial Services,Financial Data & Stock Exchanges,152292802560
HIMS,Healthcare,Drug Manufacturers - Specialty & Generic,9051304960
TGT,Consumer Defensive,Discount Stores,41177649152
CMCSA,Communication Services,Telecom Services,98544992256
DKS,Consumer Cyclical,Specialty Retail,18524438528
MCK,Healthcare,Medical Distribution,109597573120
MS,Financial Services,Capital Markets,270834335744
RGTI,Technology,Computer Hardware,8438766592
COF,Financial Services,Credit Services,140099059712
SMCI,Technology,Computer Hardware,20207472640
BND,Unknown,Unknown,0
SE,Consumer Cyclical,Internet Retail,82296684544
XLU,Unknown,Unknown,14797521920
ORLY,Consumer Cyclical,Auto Parts,86041485312
NEE,Utilities,Utilities - Regulated Electric,179708395520
SMR,Industrials,Specialty Industrial Machinery,5656869888
IEMG,Unknown,Unknown,77218676736
ACWI,Unknown,Unknown,0
AZN,Healthcare,Drug Manufacturers - General,287482183680
VEA,Unknown,Unknown,0
RIOT,Financial Services,Capital Markets,5997250048
VST,Utilities,Utilities - Independent Power Producers,60602331136
STX,Technology,Computer Hardware,60283019264
BKLN,Unknown,Unknown,0
LMT,Industrials,Aerospace & Defense,106894303232
TMUS,Communication Services,Telecom Services,235223826432
FBTC,Unknown,Unknown,0
TER,Technology,Semiconductor Equipment & Materials,28933885952
VALE,Basic Materials,Other Industrial Metals & Mining,53957758976
DHI,Consumer Cyclical,Residential Construction,47404617728
NU,Financial Services,Banks - Regional,84264558592
DHR,Healthcare,Diagnostics & Research,162386182144
FLUT,Consumer Cyclical,Gambling,36533956608
ABT,Healthcare,Medical Devices,224345161728
PAAS,Basic Materials,Gold,19274885120
MPWR,Technology,Semiconductors,44465840128
ETN,Industrials,Specialty Industrial Machinery,134654984192
NXPI,Technology,Semiconductors,49147219968
SBUX,Consumer Cyclical,Restaurants,99052781568
AXP,Financial Services,Credit Services,254184898560
NKE,Consumer Cyclical,Footwear & Accessories,95536152576
CCL,Consumer Cyclical,Travel Services,34954641408
IJR,Unknown,Unknown,68382208000
BLK,Financial Services,Asset Management,162489565184
HON,Industrials,Conglomerates,129511022592
VRTX,Healthcare,Biotechnology,111173550080
RIVN,Consumer Cyclical,Auto Manufacturers,20668895232
LOW,Consumer Cyclical,Home Improvement Retail,136019517440
SCHX,Unknown,Unknown,0
SNAP,Communication Services,Internet Content & Information,13204673536
IJH,Unknown,Unknown,17075914752
BMY,Healthcare,Drug Manufacturers - General,100159053824
QLD,Unknown,Unknown,0
KMB,Consumer Defensive,Household & Personal Products,36212391936
FSLR,Technology,Solar,29286539264
BITF,Financial Services,Capital Markets,2080773632
